Snow Course Name, Number, Elev. metres, Date of Survey, Snow Depth cm, Water Equiv. mm, Survey Code, % of Normal, Density %, Survey Period, Normal mm
WARE (LOWER),4A04,970,2017-04-28,22,71,,57,32,01-May,124
MCCULLOCH,2F03,1280,2017-01-30,46,91,,78,20,01-Feb,117
MCCULLOCH,2F03,1280,2017-02-27,60,117,,80,20,01-Mar,146
MCCULLOCH,2F03,1280,2017-03-29,38,144,,109,38,01-Apr,132
MCCULLOCH,2F03,1280,2017-04-28,9,42,,350,47,01-May,12
GRAYSTOKE LAKE,2F04,1840,2017-01-06,51,128,,87,25,01-Jan,147
GRAYSTOKE LAKE,2F04,1840,2017-02-08,77,164,,75,21,01-Feb,219
GRAYSTOKE LAKE,2F04,1840,2017-03-03,94,216,,76,23,01-Mar,285
GRAYSTOKE LAKE,2F04,1840,2017-05-02,137,450,,131,33,01-May,343
POSTILL LAKE,2F07,1370,2017-02-03,44,97,,70,22,01-Feb,138
POSTILL LAKE,2F07,1370,2017-03-07,63,133,,77,21,01-Mar,173
POSTILL LAKE,2F07,1370,2017-03-28,62,168,,83,27,01-Apr,202
POSTILL LAKE,2F07,1370,2017-04-28,56,191,,158,34,01-May,121
WHITEROCKS MOUNTAIN,2F09,1830,2017-01-28,98,274,,75,28,01-Feb,366
WHITEROCKS MOUNTAIN,2F09,1830,2017-02-25,118,362,,80,31,01-Mar,450
WHITEROCKS MOUNTAIN,2F09,1830,2017-04-01,180,555,,107,31,01-Apr,521
WHITEROCKS MOUNTAIN,2F09,1830,2017-04-30,182,708,,151,39,01-May,470
WHITEROCKS MOUNTAIN,2F09,1830,2017-05-14,123,502,,141,41,15-May,357
WHITEROCKS MOUNTAIN,2F09,1830,2017-05-29,69,294,,230,43,01-Jun,128
ISINTOK LAKE,2F11,1680,2017-01-06,42,77,,112,18,01-Jan,69
ISINTOK LAKE,2F11,1680,2017-02-01,41,83,,76,20,01-Feb,109
ISINTOK LAKE,2F11,1680,2017-02-28,57,117,,89,21,01-Mar,132
ISINTOK LAKE,2F11,1680,2017-03-30,60,141,,95,24,01-Apr,148
ISINTOK LAKE,2F11,1680,2017-05-03,59,174,,178,29,01-May,98
ISINTOK LAKE,2F11,1680,2017-05-19,16,47,,102,29,15-May,46
MOUNT KOBAU,2F12,1810,2016-12-29,46,70,,50,15,01-Jan,139
MOUNT KOBAU,2F12,1810,2017-01-29,89,204,,104,23,01-Feb,196
MOUNT KOBAU,2F12,1810,2017-02-28,98,270,,107,28,01-Mar,253
MOUNT KOBAU,2F12,1810,2017-03-31,121,375,,123,31,01-Apr,304
MOUNT KOBAU,2F12,1810,2017-04-29,133,468,,151,35,01-May,309
MOUNT KOBAU,2F12,1810,2017-05-13,112,393,,155,35,15-May,253
MOUNT KOBAU,2F12,1810,2017-05-28,71,316,,261,45,01-Jun,121
ESPERON CR (UPPER),2F13,1650,2017-02-26,96,270,,82,28,01-Mar,330
ESPERON CR (UPPER),2F13,1650,2017-04-01,127,386,,101,30,01-Apr,383
ESPERON CR (UPPER),2F13,1650,2017-04-30,132,456,,132,35,01-May,346
ESPERON CR (UPPER),2F13,1650,2017-05-27,52,234,,135,45,01-Jun,173
ESPERON CR (MIDDLE),2F14,1430,2017-02-26,86,206,,72,24,01-Mar,287
ESPERON CR (MIDDLE),2F14,1430,2017-04-01,107,318,,97,30,01-Apr,328
ESPERON CR (MIDDLE),2F14,1430,2017-04-30,101,372,,172,37,01-May,216
ESPERON CR (MIDDLE),2F14,1430,2017-05-27,27,122,,452,45,01-Jun,27
MOUNT ABBOT,2A14,2010,2016-12-27,160,522,,89,33,01-Jan,584
MOUNT ABBOT,2A14,2010,2017-01-30,199,692,,84,35,01-Feb,822
MOUNT ABBOT,2A14,2010,2017-02-25,271,892,,89,33,01-Mar,1000
MOUNT ABBOT,2A14,2010,2017-03-27,365,1300,,108,36,01-Apr,1199
MOUNT ABBOT,2A14,2010,2017-04-25,355,1495,,111,42,01-May,1345
GOLDSTREAM,2A16,1920,2017-01-03,227,626,,106,28,01-Jan,588
GOLDSTREAM,2A16,1920,2017-01-31,208,708,,87,34,01-Feb,816
GOLDSTREAM,2A16,1920,2017-02-28,246,895,,94,36,01-Mar,954
GOLDSTREAM,2A16,1920,2017-03-30,336,1221,,108,36,01-Apr,1133
GOLDSTREAM,2A16,1920,2017-04-29,332,1339,,112,40,01-May,1200
FIDELITY MOUNTAIN,2A17,1870,2016-12-26,154,490,,82,32,01-Jan,596
FIDELITY MOUNTAIN,2A17,1870,2017-01-30,189,638,,75,34,01-Feb,854
FIDELITY MOUNTAIN,2A17,1870,2017-02-26,249,824,,79,33,01-Mar,1043
FIDELITY MOUNTAIN,2A17,1870,2017-03-26,317,1128,,93,36,01-Apr,1210
FIDELITY MOUNTAIN,2A17,1870,2017-04-27,315,1395,,107,44,01-May,1306
KEYSTONE CREEK,2A18,1890,2017-01-03,146,385,,95,26,01-Jan,405
KEYSTONE CREEK,2A18,1890,2017-01-30,149,485,,89,33,01-Feb,548
KEYSTONE CREEK,2A18,1890,2017-02-28,189,649,,97,34,01-Mar,671
KEYSTONE CREEK,2A18,1890,2017-04-29,264,1004,,122,38,01-May,823
VERMONT CREEK,2A19,1520,2017-01-04,73,185,,89,25,01-Jan,207
VERMONT CREEK,2A19,1520,2017-02-01,88,252,A,88,29,01-Feb,287
VERMONT CREEK,2A19,1520,2017-02-27,128,355,,100,28,01-Mar,356
VERMONT CREEK,2A19,1520,2017-03-31,144,490,,123,34,01-Apr,397
VERMONT CREEK,2A19,1520,2017-05-02,108,424,,130,39,01-May,327
SUNBEAM LAKE,2A22,2010,2017-01-03,166,466,,99,28,01-Jan,471
SUNBEAM LAKE,2A22,2010,2017-01-31,168,559,,89,33,01-Feb,629
SUNBEAM LAKE,2A22,2010,2017-02-27,209,713,,95,34,01-Mar,751
SUNBEAM LAKE,2A22,2010,2017-03-30,279,955,,108,34,01-Apr,885
SUNBEAM LAKE,2A22,2010,2017-04-29,268,1045,,111,39,01-May,939
NINGUNSAW PASS,4B10,690,2017-01-31,53,178,,57,34,01-Feb,312
BEAR PASS,4B11A,460,2017-01-31,89,270,,59,30,01-Feb,455
BEAR PASS,4B11A,460,2017-02-28,95,350,,61,37,01-Mar,574
BEAR PASS,4B11A,460,2017-03-27,115,430,,67,37,01-Apr,642
TERRACE AIRPORT,4B13A,1805,2017-01-05,28,46,,63,16,01-Jan,73
TERRACE AIRPORT,4B13A,1805,2017-01-31,8,22,,17,28,01-Feb,128
TERRACE AIRPORT,4B13A,1805,2017-03-29,17,60,,71,35,01-Apr,84
TERRACE AIRPORT,4B13A,1805,2017-04-28,0,0,,0,,01-May,14
EQUITY MINE,4B14,1420,2017-02-28,119,346,,104,29,01-Mar,333
EQUITY MINE,4B14,1420,2017-03-29,136,406,,105,30,01-Apr,385
EQUITY MINE,4B14,1420,2017-04-28,130,434,,116,33,01-May,373
LU LAKE,4B15,1300,2017-02-28,86,214,,84,25,01-Mar,254
LU LAKE,4B15,1300,2017-03-29,95,252,,87,27,01-Apr,291
LU LAKE,4B15,1300,2017-04-28,91,276,,103,30,01-May,267
OYAMA LAKE,2F19,1340,2017-02-01,45,80,,67,18,01-Feb,119
OYAMA LAKE,2F19,1340,2017-02-28,65,124,,86,19,01-Mar,144
OYAMA LAKE,2F19,1340,2017-03-31,69,182,,118,26,01-Apr,154
OYAMA LAKE,2F19,1340,2017-04-30,28,84,,153,30,01-May,55
VASEUX CREEK,2F20,1400,2017-01-29,32,54,,62,17,01-Feb,87
VASEUX CREEK,2F20,1400,2017-02-28,40,60,,53,15,01-Mar,113
VASEUX CREEK,2F20,1400,2017-03-31,41,100,,76,25,01-Apr,132
VASEUX CREEK,2F20,1400,2017-04-29,22,96,,234,44,01-May,41
VASEUX CREEK,2F20,1400,2017-05-14,0,0,,0,,15-May,7
BOULEAU LAKE,2F21,1400,2017-02-26,86,212,,79,25,01-Mar,267
BOULEAU LAKE,2F21,1400,2017-03-26,101,252,,82,25,01-Apr,306
BOULEAU LAKE,2F21,1400,2017-04-29,102,344,,137,34,01-May,251
MACDONALD LAKE,2F23,1740,2017-01-31,92,250,,92,27,01-Feb,273
MACDONALD LAKE,2F23,1740,2017-03-01,118,314,,85,27,01-Mar,368
MACDONALD LAKE,2F23,1740,2017-04-04,157,45,,10,3,01-Apr,428
MACDONALD LAKE,2F23,1740,2017-04-28,163,59,,14,4,01-May,421
ISLAHT LAKE,2F24,1480,2017-02-02,70,119,,53,17,01-Feb,225
ISLAHT LAKE,2F24,1480,2017-02-28,95,183,,64,19,01-Mar,285
ISLAHT LAKE,2F24,1480,2017-04-03,113,27,,9,2,01-Apr,309
ISLAHT LAKE,2F24,1480,2017-05-01,102,32,,14,3,01-May,234
POSTILL LAKE (UPPER),2F25,1540,2017-01-31,,,N,,,01-Feb,
POSTILL LAKE (UPPER),2F25,1540,2017-03-01,,,N,,,01-Mar,
LOST HORSE MOUNTAIN,2G04,1920,2017-01-26,52,108,B,78,21,01-Feb,139
LOST HORSE MOUNTAIN,2G04,1920,2017-02-27,68,139,B,78,20,01-Mar,178
LOST HORSE MOUNTAIN,2G04,1920,2017-03-31,73,181,B,84,25,01-Apr,216
LOST HORSE MOUNTAIN,2G04,1920,2017-04-26,88,236,B,110,27,01-May,215
LOST HORSE MOUNTAIN,2G04,1920,2017-05-13,64,193,B,114,30,15-May,169
MISSEZULA MOUNTAIN,2G05,1550,2017-01-26,52,106,B,74,20,01-Feb,144
MISSEZULA MOUNTAIN,2G05,1550,2017-02-27,68,158,B,87,23,01-Mar,182
MISSEZULA MOUNTAIN,2G05,1550,2017-03-31,74,208,B,106,28,01-Apr,197
MISSEZULA MOUNTAIN,2G05,1550,2017-04-27,71,206,B,202,29,01-May,102
MISSEZULA MOUNTAIN,2G05,1550,2017-05-10,31,100,B,312,32,15-May,32
HAMILTON HILL,2G06,1490,2017-01-27,61,150,B,70,25,01-Feb,213
HAMILTON HILL,2G06,1490,2017-02-28,86,219,B,82,25,01-Mar,267
HAMILTON HILL,2G06,1490,2017-03-26,89,265,B,91,30,01-Apr,291
HAMILTON HILL,2G06,1490,2017-04-26,69,254,B,134,37,01-May,190
HAMILTON HILL,2G06,1490,2017-05-09,35,125,B,114,36,15-May,110
GROUSE MOUNTAIN,3A01,1100,2017-01-03,224,732,,151,33,01-Jan,485
GROUSE MOUNTAIN,3A01,1100,2017-01-30,229,988,,130,43,01-Feb,761
GROUSE MOUNTAIN,3A01,1100,2017-02-27,252,1036,,107,41,01-Mar,966
GROUSE MOUNTAIN,3A01,1100,2017-03-29,401,1694,,146,42,01-Apr,1160
GROUSE MOUNTAIN,3A01,1100,2017-04-26,379,1730,,148,46,01-May,1170
PALISADE LAKE,3A09,880,2017-02-28,221,952,P,86,43,01-Mar,1106
PALISADE LAKE,3A09,880,2017-03-30,371,1620,,123,44,01-Apr,1322
PALISADE LAKE,3A09,880,2017-04-28,321,1648,,128,51,01-May,1291
DOG MOUNTAIN,3A10,1080,2017-01-03,239,754,,155,32,01-Jan,488
DOG MOUNTAIN,3A10,1080,2017-01-31,195,842,,118,43,01-Feb,715
DOG MOUNTAIN,3A10,1080,2017-02-28,239,1029,,108,43,01-Mar,952
DOG MOUNTAIN,3A10,1080,2017-03-31,347,1496,,132,43,01-Apr,1137
DOG MOUNTAIN,3A10,1080,2017-04-27,346,1762,,155,51,01-May,1137
DOG MOUNTAIN,3A10,1080,2017-05-15,304,1700,,163,56,15-May,1041
DOG MOUNTAIN,3A10,1080,2017-05-31,239,1331,,186,56,01-Jun,714
DOG MOUNTAIN,3A10,1080,2017-06-14,178,1032,,259,58,15-Jun,399
ORCHID LAKE,3A19,1190,2017-01-03,251,808,,109,32,01-Jan,739
ORCHID LAKE,3A19,1190,2017-02-01,249,998,,90,40,01-Feb,1114
ORCHID LAKE,3A19,1190,2017-02-28,289,1142,P,78,40,01-Mar,1467
ORCHID LAKE,3A19,1190,2017-03-30,512,1970,,111,38,01-Apr,1769
ORCHID LAKE,3A19,1190,2017-04-28,474,2423,,130,51,01-May,1866
ORCHID LAKE,3A19,1190,2017-05-19,430,2330,,135,54,15-May,1729
ORCHID LAKE,3A19,1190,2017-05-31,350,2010,,143,57,01-Jun,1409
ORCHID LAKE,3A19,1190,2017-06-14,271,1572,P,157,58,15-Jun,1002
CALLAGHAN CREEK,3A20,1040,2017-01-29,154,520,,96,34,01-Feb,542
CALLAGHAN CREEK,3A20,1040,2017-03-01,167,632,,90,38,01-Mar,702
CALLAGHAN CREEK,3A20,1040,2017-03-29,228,940,,115,41,01-Apr,820
CALLAGHAN CREEK,3A20,1040,2017-05-01,195,952,,134,49,01-May,711
CALLAGHAN CREEK,3A20,1040,2017-05-30,45,240,,103,53,01-Jun,233
NOSTETUKO RIVER,3A22P,1500,2017-02-21,212,350,,,17,01-Mar,
SQUAMISH RIVER UPPER,3A25P,1340,2017-02-21,305,1550,A,,51,01-Mar,
FORBIDDEN PLATEAU,3B01,1100,2016-12-30,219,619,,100,28,01-Jan,621
FORBIDDEN PLATEAU,3B01,1100,2017-01-30,196,791,,86,40,01-Feb,922
FORBIDDEN PLATEAU,3B01,1100,2017-02-25,230,927,,77,40,01-Mar,1203
FORBIDDEN PLATEAU,3B01,1100,2017-03-30,338,1432,,96,42,01-Apr,1485
FORBIDDEN PLATEAU,3B01,1100,2017-04-28,321,1507,,100,47,01-May,1507
MOUNT COKELY,3B02A,1190,2017-03-06,,,N,,,01-Mar,662
MOUNT COKELY,3B02A,1190,2017-05-03,,,N,,,01-May,813
ELK RIVER,3B04,270,2016-12-30,40,123,,251,31,01-Jan,49
ELK RIVER,3B04,270,2017-01-30,33,102,,167,31,01-Feb,61
ELK RIVER,3B04,270,2017-02-25,39,136,,234,35,01-Mar,58
ELK RIVER,3B04,270,2017-03-30,15,55,T,162,37,01-Apr,34
ELK RIVER,3B04,270,2017-04-28,0,0,,,,01-May,0
UPPER THELWOOD LAKE,3B10,990,2017-02-25,213,868,,77,41,01-Mar,1128
UPPER THELWOOD LAKE,3B10,990,2017-03-30,345,1436,,99,42,01-Apr,1455
UPPER THELWOOD LAKE,3B10,990,2017-04-28,304,1460,A,98,48,01-May,1484
WOLF RIVER (MIDDLE),3B18,990,2016-12-30,149,310,,118,21,01-Jan,262
WOLF RIVER (MIDDLE),3B18,990,2017-01-30,104,336,,84,32,01-Feb,400
WOLF RIVER (MIDDLE),3B18,990,2017-02-25,112,438,,86,39,01-Mar,509
WOLF RIVER (MIDDLE),3B18,990,2017-03-30,155,560,A,91,36,01-Apr,618
WOLF RIVER (MIDDLE),3B18,990,2017-04-28,144,586,,107,41,01-May,546
WOLF RIVER (LOWER),3B19,640,2016-12-30,95,204,,127,21,01-Jan,161
WOLF RIVER (LOWER),3B19,640,2017-01-30,50,178,,73,36,01-Feb,244
WOLF RIVER (LOWER),3B19,640,2017-02-25,,,N,,,01-Mar,301
WOLF RIVER (LOWER),3B19,640,2017-03-30,80,312,,99,39,01-Apr,315
WOLF RIVER (LOWER),3B19,640,2017-04-28,15,62,,46,41,01-May,134
WEDEENE RIVER SOUTH,3C07,300,2017-03-29,99,380,,99,38,01-Apr,383
WEDEENE RIVER SOUTH,3C07,300,2017-04-28,6,36,,26,60,01-May,136
SUMALLO RIVER WEST,3D01C,790,2017-02-01,50,182,,113,36,01-Feb,161
SUMALLO RIVER WEST,3D01C,790,2017-02-24,71,251,,115,35,01-Mar,218
SUMALLO RIVER WEST,3D01C,790,2017-04-05,68,266,,139,39,01-Apr,191
SUMALLO RIVER WEST,3D01C,790,2017-04-28,24,96,,145,40,01-May,66
LONGWORTH UPPER,1A05P,1740,2017-03-21,176,628,,,36,01-Apr,
KNUDSEN LAKE,1A15P,1601,2017-03-21,164,483,,,29,01-Apr,
GERMANSEN (UPPER),4A05,1480,2017-01-04,52,115,,62,22,01-Jan,186
GERMANSEN (UPPER),4A05,1480,2017-01-30,66,144,,61,22,01-Feb,237
GERMANSEN (UPPER),4A05,1480,2017-02-28,77,184,,63,24,01-Mar,293
GERMANSEN (UPPER),4A05,1480,2017-03-30,100,253,,73,25,01-Apr,348
GERMANSEN (UPPER),4A05,1480,2017-04-27,90,238,,67,26,01-May,355
TUTIZZI LAKE,4A06,1045,2017-01-04,38,69,,49,18,01-Jan,142
TUTIZZI LAKE,4A06,1045,2017-01-30,54,95,,51,18,01-Feb,186
TUTIZZI LAKE,4A06,1045,2017-02-28,51,102,,44,20,01-Mar,230
TUTIZZI LAKE,4A06,1045,2017-03-30,72,188,,73,26,01-Apr,259
TUTIZZI LAKE,4A06,1045,2017-04-27,22,83,,54,38,01-May,155
LADY LAURIER LAKE,4A07,1440,2017-01-02,82,178,,60,22,01-Jan,295
LADY LAURIER LAKE,4A07,1440,2017-01-28,110,275,,75,25,01-Feb,369
LADY LAURIER LAKE,4A07,1440,2017-03-02,,,N,,,01-Mar,452
LADY LAURIER LAKE,4A07,1440,2017-03-28,154,436,,82,28,01-Apr,529
LADY LAURIER LAKE,4A07,1440,2017-04-29,132,439,,79,33,01-May,555
PULPIT LAKE,4A09,1335,2017-01-03,70,136,,58,19,01-Jan,235
PULPIT LAKE,4A09,1335,2017-01-29,91,208,,67,23,01-Feb,312
PULPIT LAKE,4A09,1335,2017-03-01,98,239,,64,24,01-Mar,372
PULPIT LAKE,4A09,1335,2017-03-29,127,329,,77,26,01-Apr,425
PULPIT LAKE,4A09,1335,2017-04-28,99,325,,78,33,01-May,418
FREDRICKSON LAKE,4A10,1325,2017-01-03,38,70,,55,18,01-Jan,128
FREDRICKSON LAKE,4A10,1325,2017-01-29,57,105,,59,18,01-Feb,179
FREDRICKSON LAKE,4A10,1325,2017-02-28,52,86,,40,17,01-Mar,213
FREDRICKSON LAKE,4A10,1325,2017-03-30,75,149,,60,20,01-Apr,247
FREDRICKSON LAKE,4A10,1325,2017-04-27,47,131,,57,28,01-May,231
TRYGVE LAKE,4A11,1410,2017-01-04,62,121,,58,20,01-Jan,207
TRYGVE LAKE,4A11,1410,2017-01-29,87,175,,66,20,01-Feb,264
TRYGVE LAKE,4A11,1410,2017-03-01,85,186,,58,22,01-Mar,319
TRYGVE LAKE,4A11,1410,2017-03-29,114,285,,77,25,01-Apr,370
TRYGVE LAKE,4A11,1410,2017-04-27,90,267,,70,30,01-May,381
TSAYDAYCHI LAKE,4A12,1190,2017-01-04,65,148,,68,23,01-Jan,217
TSAYDAYCHI LAKE,4A12,1190,2017-01-30,,,N,,,01-Feb,277
TSAYDAYCHI LAKE,4A12,1190,2017-02-28,96,267,,79,28,01-Mar,340
TSAYDAYCHI LAKE,4A12,1190,2017-03-30,121,346,,87,29,01-Apr,398
TSAYDAYCHI LAKE,4A12,1190,2017-04-27,99,328,,85,33,01-May,386
PHILIP LAKE,4A13,1035,2017-01-30,,,N,,,01-Feb,199
PHILIP LAKE,4A13,1035,2017-02-28,52,118,,49,23,01-Mar,242
PHILIP LAKE,4A13,1035,2017-03-30,59,133,,48,23,01-Apr,279
PHILIP LAKE,4A13,1035,2017-04-27,30,89,,45,30,01-May,196
MORFEE MOUNTAIN,4A16,1430,2017-01-05,90,239,,56,27,01-Jan,425
MORFEE MOUNTAIN,4A16,1430,2017-01-30,134,373,,62,28,01-Feb,597
MORFEE MOUNTAIN,4A16,1430,2017-02-27,143,460,,63,32,01-Mar,725
MORFEE MOUNTAIN,4A16,1430,2017-04-01,,,N,,,01-Apr,833
MORFEE MOUNTAIN,4A16,1430,2017-04-26,150,606,,75,40,01-May,812
MOUNT SHEBA,4A18,1490,2017-01-05,112,279,,64,25,01-Jan,438
MOUNT SHEBA,4A18,1490,2017-01-31,164,447,,79,27,01-Feb,566
MOUNT SHEBA,4A18,1490,2017-02-27,165,536,,75,32,01-Mar,712
MOUNT SHEBA,4A18,1490,2017-04-01,,,N,,,01-Apr,823
MOUNT SHEBA,4A18,1490,2017-04-26,202,805,,90,40,01-May,891
MONKMAN CREEK,4A20,1570,2017-01-31,119,344,,91,29,01-Feb,376
MONKMAN CREEK,4A20,1570,2017-02-27,128,396,,84,31,01-Mar,472
MONKMAN CREEK,4A20,1570,2017-04-01,169,535,,99,32,01-Apr,540
MONKMAN CREEK,4A20,1570,2017-04-26,180,603,,104,34,01-May,580
MOUNT STEARNS,4A21,1505,2017-01-03,61,92,,112,15,01-Jan,82
MOUNT STEARNS,4A21,1505,2017-01-28,52,117,,114,22,01-Feb,103
MOUNT STEARNS,4A21,1505,2017-03-01,65,137,,110,21,01-Mar,124
MOUNT STEARNS,4A21,1505,2017-03-28,80,180,,122,22,01-Apr,147
MOUNT STEARNS,4A21,1505,2017-04-28,78,206,,141,26,01-May,146
FORT ST. JOHN AIRPORT,4A25,690,2017-01-05,34,50,,96,15,01-Jan,52
FORT ST. JOHN AIRPORT,4A25,690,2017-01-31,33,72,,90,22,01-Feb,80
FORT ST. JOHN AIRPORT,4A25,690,2017-03-01,35,81,,82,23,01-Mar,99
FORT ST. JOHN AIRPORT,4A25,690,2017-03-29,35,105,,108,30,01-Apr,97
FORT ST. JOHN AIRPORT,4A25,690,2017-04-27,0,0,T,,,01-May,0
KIDPRICE LAKE,4B01,1370,2017-01-30,240,725,,109,30,01-Feb,664
KIDPRICE LAKE,4B01,1370,2017-02-27,224,807,,99,36,01-Mar,817
KIDPRICE LAKE,4B01,1370,2017-03-30,269,999,,107,37,01-Apr,931
KIDPRICE LAKE,4B01,1370,2017-05-01,241,997,,105,41,01-May,951
KIDPRICE LAKE,4B01,1370,2017-05-31,125,672,,107,54,01-Jun,630
JOHANSON LAKE,4B02,1420,2017-01-04,51,103,,62,20,01-Jan,167
JOHANSON LAKE,4B02,1420,2017-01-30,71,133,,63,19,01-Feb,211
JOHANSON LAKE,4B02,1420,2017-02-28,71,160,,63,23,01-Mar,253
JOHANSON LAKE,4B02,1420,2017-03-30,96,226,,75,24,01-Apr,301
JOHANSON LAKE,4B02,1420,2017-04-27,81,226,,75,28,01-May,301
HUDSON BAY MTN.,4B03A,1480,2017-01-04,82,218,,83,27,01-Jan,264
HUDSON BAY MTN.,4B03A,1480,2017-01-30,128,326,,90,25,01-Feb,361
HUDSON BAY MTN.,4B03A,1480,2017-03-01,120,369,,83,31,01-Mar,443
HUDSON BAY MTN.,4B03A,1480,2017-03-30,134,408,,82,30,01-Apr,499
HUDSON BAY MTN.,4B03A,1480,2017-05-02,126,443,,87,35,01-May,509
HUDSON BAY MTN.,4B03A,1480,2017-06-01,25,76,,29,30,01-Jun,259
CHAPMAN LAKE,4B04,1460,2017-03-01,106,339,,83,32,01-Mar,407
CHAPMAN LAKE,4B04,1460,2017-03-31,136,422,,92,31,01-Apr,457
CHAPMAN LAKE,4B04,1460,2017-05-01,127,463,,98,36,01-May,473
TACHEK CREEK,4B06,1140,2017-01-31,48,120,,77,25,01-Feb,156
TACHEK CREEK,4B06,1140,2017-03-01,58,140,,72,24,01-Mar,195
TACHEK CREEK,4B06,1140,2017-03-29,68,178,,80,26,01-Apr,223
TACHEK CREEK,4B06,1140,2017-05-03,45,130,,74,29,01-May,175
MCKENDRICK CREEK,4B07,1050,2017-03-01,56,158,,64,28,01-Mar,246
MCKENDRICK CREEK,4B07,1050,2017-03-31,70,199,,73,28,01-Apr,271
MCKENDRICK CREEK,4B07,1050,2017-05-01,45,158,,71,35,01-May,223
MOUNT CRONIN,4B08,1480,2017-03-01,132,420,,84,32,01-Mar,498
MOUNT CRONIN,4B08,1480,2017-03-31,170,549,,96,32,01-Apr,570
MOUNT CRONIN,4B08,1480,2017-05-01,174,595,,97,34,01-May,616
EDWARDS LAKE,3A27,1070,2017-02-01,158,544,,80,34,01-Feb,682
EDWARDS LAKE,3A27,1070,2017-02-28,171,542,,76,32,01-Mar,713
EDWARDS LAKE,3A27,1070,2017-03-31,,,N,,,01-Apr,920
DISAPPOINTMENT LAKE,1D18,1050,2017-03-30,436,1788,,,41,01-Apr,
DISAPPOINTMENT LAKE,1D18,1050,2017-04-28,392,1925,,192,49,01-May,1000
DISAPPOINTMENT LAKE,1D18,1050,2017-05-19,343,1870,,,55,15-May,
DISAPPOINTMENT LAKE,1D18,1050,2017-05-31,280,1610,,,58,01-Jun,
DISAPPOINTMENT LAKE,1D18,1050,2017-06-14,205,1197,P,,58,15-Jun,
HEATHER MOUNTAIN UPPER,3B24P,1190,2017-03-01,252,1000,,,40,01-Mar,
SIKANNI LAKE,4C01,1385,2017-01-03,48,71,,49,15,01-Jan,145
SIKANNI LAKE,4C01,1385,2017-01-29,50,95,,49,19,01-Feb,193
SIKANNI LAKE,4C01,1385,2017-03-01,57,106,,45,19,01-Mar,238
SIKANNI LAKE,4C01,1385,2017-03-29,78,171,,62,22,01-Apr,276
SIKANNI LAKE,4C01,1385,2017-04-28,64,171,,64,27,01-May,266
SUMMIT LAKE,4C02,1280,2017-01-12,25,6,,,2,01-Jan,
SUMMIT LAKE,4C02,1280,2017-02-03,27,56,,62,21,01-Feb,91
SUMMIT LAKE,4C02,1280,2017-03-03,34,79,,71,23,01-Mar,111
SUMMIT LAKE,4C02,1280,2017-03-29,52,95,,84,18,01-Apr,113
SUMMIT LAKE,4C02,1280,2017-05-02,47,120,,273,26,01-May,44
FORT NELSON AIRPORT,4C05,380,2017-01-12,19,4,,7,2,01-Jan,57
FORT NELSON AIRPORT,4C05,380,2017-02-03,23,58,,76,25,01-Feb,76
FORT NELSON AIRPORT,4C05,380,2017-03-03,24,57,,62,24,01-Mar,92
FORT NELSON AIRPORT,4C05,380,2017-03-29,45,96,,102,21,01-Apr,94
ATLIN LAKE,4E02B,730,2017-03-01,40,85,,,21,01-Mar,
ATLIN LAKE,4E02B,730,2017-04-01,42,92,,,22,01-Apr,
CHAPMAN CREEK,3A26,1022,2017-02-01,229,830,,98,36,01-Feb,844
CHAPMAN CREEK,3A26,1022,2017-02-28,258,956,,92,37,01-Mar,1038
CHAPMAN CREEK,3A26,1022,2017-03-31,358,318,,24,9,01-Apr,1344
CHAPMAN CREEK,3A26,1022,2017-05-10,315,1450,,,46,15-May,
